date,weather_info
2018-01-01,Min/max4°/12°c
2018-01-02,Min/max7°/14°c
2018-01-03,Min/max9°/14°c
2018-01-04,Min/max8°/13°c
2018-01-05,Min/max7°/12°c
2018-01-06,Min/max5°/13°c
2018-01-07,Min/max6°/15°c
2018-01-08,Min/max8°/16°c
2018-01-09,Min/max7°/15°c
2018-01-10,Min/max8°/14°c
2018-01-11,Min/max11°/16°c
2018-01-12,Min/max10°/14°c
2018-01-13,Min/max8°/13°c
2018-01-14,Min/max4°/9°c
2018-01-15,Min/max3°/10°c
2018-01-16,Min/max6°/12°c
2018-01-17,Min/max8°/14°c
2018-01-18,Min/max5°/14°c
2018-01-19,Min/max3°/11°c
2018-01-20,Min/max5°/14°c
2018-01-21,Min/max11°/15°c
2018-01-22,Min/max8°/13°c
2018-01-23,Min/max4°/9°c
2018-01-24,Min/max3°/8°c
2018-01-25,Min/max2°/7°c
2018-01-26,Min/max2°/8°c
2018-01-27,Min/max1°/9°c
2018-01-28,Min/max2°/11°c
2018-01-29,Min/max2°/12°c
2018-01-30,Min/max5°/15°c
2018-01-31,Min/max5°/16°c
2018-02-01,Min/max6°/15°c
2018-02-02,Min/max12°/14°c
2018-02-03,Min/max12°/16°c
2018-02-04,Min/max12°/17°c
2018-02-05,Min/max10°/14°c
2018-02-06,Min/max7°/14°c
2018-02-07,Min/max7°/18°c
2018-02-08,Min/max11°/17°c
2018-02-09,Min/max10°/16°c
2018-02-10,Min/max11°/14°c
2018-02-11,Min/max10°/15°c
2018-02-12,Min/max8°/14°c
2018-02-13,Min/max7°/14°c
2018-02-14,Min/max9°/14°c
2018-02-15,Min/max9°/13°c
2018-02-16,Min/max8°/14°c
2018-02-17,Min/max7°/13°c
2018-02-18,Min/max5°/15°c
2018-02-19,Min/max8°/16°c
2018-02-20,Min/max9°/13°c
2018-02-21,Min/max9°/16°c
2018-02-22,Min/max11°/17°c
2018-02-23,Min/max9°/16°c
2018-02-24,Min/max9°/15°c
2018-02-25,Min/max7°/13°c
2018-02-26,Min/max7°/14°c
